real_estate_price,station_name,station_location,station_distance,estate_lon,estate_lat
19119.0,岳家嘴,"(114.36201, 30.577109)",0.002815596739593613,114.359562,30.575718
19121.0,红钢城,"(114.401431, 30.639088)",0.0064216559390885605,114.396783,30.643519
19122.0,汉正街,"(114.274677, 30.571218)",0.0028961869823992247,114.27398298949,30.574029805194
19122.0,湖口,"(114.448734, 30.487938)",0.026982024386617703,114.454736,30.514244
19125.0,香港路,"(114.284769, 30.605235)",0.0023837241870611967,114.283398,30.607185
19126.0,新河街,"(114.317111, 30.56256)",0.006232564881338451,114.322224,30.558996
19129.0,六渡桥,"(114.28427, 30.574991)",0.00236669917818104,114.284597,30.572647
19129.0,虎泉,"(114.370478, 30.512359)",0.0045056584180316606,114.37323546398,30.508795665862
19131.0,利济北路,"(114.270119, 30.577433)",0.002881390289427208,114.26825,30.579626
19138.0,珞雄路,"(114.404837, 30.506941)",0.0038281777649455642,114.408174,30.505065
19146.0,首义路,"(114.308531, 30.533612)",0.008648790030977994,114.310018,30.542132
19149.0,堤角,"(114.338273, 30.665863)",0.007003707875122397,114.340253,30.659145
19155.0,大智路,"(114.295038, 30.592581)",0.003794102001789382,114.295799,30.588864
19163.0,双墩,"(114.232026, 30.58666)",0.004035639539290271,114.23287403443,30.590605532169
19167.0,江汉路,"(114.292306, 30.579581)",0.0029606933309548437,114.290805,30.582133
19168.0,三阳路,"(114.301348, 30.598718)",0.006156998781872346,114.297903,30.603821
19168.0,昙华林武胜门,"(114.305282, 30.554209)",0.0026397838384768107,114.30264250452,30.554248016982
19168.0,幸福湾,"(114.344101, 30.672102)",0.0020734439949100644,114.34613,30.671675
19169.0,小龟山,"(114.32652, 30.551108)",0.004096442603036703,114.327801,30.547217
19171.0,利济北路,"(114.270119, 30.577433)",0.00027004280814408,114.27000857339,30.577186567287
19171.0,友谊路,"(114.278415, 30.580865)",0.0023228352266818587,114.2762791176,30.579951999527
19174.0,文昌路,"(114.329911, 30.492013)",0.005087471859804142,114.33014866953,30.486931082732
19175.0,广埠屯,"(114.364207, 30.522437)",0.021478892057086908,114.379905,30.537097
19179.0,余家头,"(114.352171, 30.608032)",0.007217163985944339,114.345271,30.610148
19181.0,大智路,"(114.295038, 30.592581)",0.006583391299320662,114.297263,30.586385
19188.0,螃蟹岬,"(114.317476, 30.553333)",0.005755112596639006,114.312415,30.556073
19192.0,头道街,"(114.313923, 30.617818)",0.003114105328982663,114.313039,30.620804
19192.0,光谷广场,"(114.397169, 30.50576)",0.007206760155562075,114.3920056164,30.510787609943
19195.0,苗栗路,"(114.289952, 30.598804)",0.003180973593103057,114.28746,30.596827
19206.0,小洪山,"(114.352367, 30.53561)",0.009415852855693584,114.360178,30.540868
19208.0,中山公园,"(114.272845, 30.581962)",0.0035910200500666174,114.27499,30.584842
19208.0,苗栗路,"(114.289952, 30.598804)",0.006227045230817341,114.2844061931,30.595972018691
19208.0,余家头,"(114.352171, 30.608032)",0.003067280852072459,114.35493247481,30.60936709127
19213.0,和平公园,"(114.386836, 30.631463)",0.009663815287529555,114.3779719647,30.635312442052
19216.0,三阳路,"(114.301348, 30.598718)",0.004130980893873053,114.29959244959,30.602457391114
19216.0,后湖大道,"(114.304127, 30.650284)",0.0064255123969529995,114.30885397192,30.645931650516
19218.0,红钢城,"(114.401431, 30.639088)",0.008058850884401343,114.40924745091,30.641049676005
19220.0,六渡桥,"(114.28427, 30.574991)",0.00237448436507312,114.28613,30.573515
19221.0,汉西一路,"(114.218822, 30.585491)",0.00997398688385274,114.22070747227,30.595285151759
19226.0,惠济二路,"(114.291463, 30.612937)",0.004552855038328396,114.292343,30.617404
19228.0,小东门,"(114.318461, 30.545012)",0.0021264326935004126,114.317001,30.543466
19228.0,新河街,"(114.317111, 30.56256)",0.004877442775728881,114.31984097821,30.566601864298
19229.0,小东门,"(114.318461, 30.545012)",0.004009079694891534,114.316513,30.541508
19229.0,宝通寺,"(114.341206, 30.530349)",0.0041461667823415906,114.33875778801,30.533695185446
19236.0,光霞,"(114.293047, 30.478528)",0.011558374453177303,114.301211,30.48671
19236.0,三阳路,"(114.301348, 30.598718)",0.008165740933926637,114.306729,30.592576
19236.0,铁机路,"(114.368895, 30.583897)",0.008069594103797918,114.376785,30.582204
19238.0,大智路,"(114.295038, 30.592581)",0.0037626614594060775,114.29688541856,30.589303094278
19240.0,循礼门,"(114.285992, 30.585234)",0.004362425586767143,114.290311,30.58462
19252.0,拦江路,"(114.269012, 30.542917)",0.004281098223584255,114.271001,30.546708
19252.0,螃蟹岬,"(114.317476, 30.553333)",0.004446440486497446,114.314108,30.556236
19255.0,建安街,"(114.313759, 30.504025)",0.00792515176210953,114.31917998758,30.509806083299
19257.0,红钢城,"(114.401431, 30.639088)",0.0029249006310596852,114.4003095162,30.641789354806
19260.0,三阳路,"(114.301348, 30.598718)",0.00637091013906507,114.296684,30.603058
19262.0,楚河汉街,"(114.341415, 30.553848)",0.005522611157781051,114.335912,30.553383
19274.0,百步亭花园路,"(114.315485, 30.654377)",0.0028986814243723716,114.3151,30.651504
19276.0,湖北大学,"(114.32947, 30.577805)",0.004973304382554248,114.33172228706,30.582239068051
19277.0,梅苑小区,"(114.326149, 30.530916)",0.0013505735818590168,114.325014,30.530184
19279.0,东亭,"(114.355809, 30.570267)",0.002517003178382384,114.355805,30.572784
19282.0,中南路,"(114.332959, 30.537528)",0.004465081970129126,114.33721,30.538894
19284.0,六渡桥,"(114.28427, 30.574991)",0.004446602815163105,114.28383246503,30.579416024265
19287.0,首义路,"(114.308531, 30.533612)",0.007553101680763565,114.31465,30.53804
19293.0,中山公园,"(114.272845, 30.581962)",0.0072732338062225475,114.276826,30.588049
19298.0,徐家棚,"(114.332095, 30.588494)",0.003607593624981635,114.33171200203,30.584906794358
19302.0,石桥,"(114.265265, 30.630637)",0.003075195868418269,114.26830586938,30.63109519542
19302.0,湖北大学,"(114.32947, 30.577805)",0.007299613711035306,114.33631973592,30.580327989924
19306.0,双墩,"(114.232026, 30.58666)",0.005901152826272965,114.23127660497,30.5808066239
19322.0,佛祖岭,"(114.439777, 30.438671)",0.016961199279531408,114.443772,30.455155
19324.0,利济北路,"(114.270119, 30.577433)",0.003907960380739822,114.26829498841,30.580889173615
19324.0,小龟山,"(114.32652, 30.551108)",0.004925808969092773,114.330455,30.554071
19326.0,三阳路,"(114.301348, 30.598718)",0.00786676362934594,114.305565,30.592077
19326.0,杨家湾,"(114.382732, 30.505122)",0.005700305002868098,114.37798913345,30.508284071159
19331.0,建安街,"(114.313759, 30.504025)",0.0049213097850067215,114.316242,30.508274
19334.0,拦江路,"(114.269012, 30.542917)",0.0035359111410469607,114.27239266212,30.541880761018
19341.0,瑞安街,"(114.314257, 30.516522)",0.011117791173977841,114.32514529699,30.514274719589
19343.0,科普公园,"(114.364928, 30.617733)",0.008933966999037094,114.37076850392,30.610972505913
19344.0,赵家条,"(114.297076, 30.617866)",0.0015174959637568003,114.295711,30.617203
19348.0,徐州新村,"(114.322936, 30.631171)",0.006265290738637483,114.31667906051,30.631494382526
19356.0,洪山路,"(114.343812, 30.545492)",0.007282428166483864,114.34536,30.538376
19357.0,武胜路,"(114.268958, 30.569459)",0.003598817366066123,114.27087273002,30.572506178266
19368.0,惠济二路,"(114.291463, 30.612937)",0.007824435581070464,114.29492641674,30.60592083747
19368.0,珞雄路,"(114.404837, 30.506941)",0.007771973673171733,114.40355404331,30.51460635041
19370.0,新河街,"(114.317111, 30.56256)",0.004325871241727288,114.31918,30.566359
19374.0,六渡桥,"(114.28427, 30.574991)",0.004045407626885844,114.28516415797,30.578936352252
19381.0,佳园路,"(114.430905, 30.500021)",0.017349209718786365,114.44511662768,30.509972116347
19392.0,三眼桥,"(114.275743, 30.610324)",0.004269920535247961,114.27942250491,30.608157559372
19395.0,广埠屯,"(114.364207, 30.522437)",0.004759094136490047,114.362983,30.517838
19395.0,岳家嘴,"(114.36201, 30.577109)",0.005132108533539867,114.364613,30.572686
19397.0,科普公园,"(114.364928, 30.617733)",0.004393818694566979,114.36793141328,30.620940047145
19398.0,小龟山,"(114.32652, 30.551108)",0.0032531530858544585,114.329402,30.552617
19402.0,菱角湖,"(114.27579, 30.604121)",0.007567481508369038,114.26829086993,30.605135802726
19405.0,大智路,"(114.295038, 30.592581)",0.00352466991361892,114.297871,30.594678
19406.0,徐家棚,"(114.332095, 30.588494)",0.00338296339659014,114.33535704364,30.587597611338
19407.0,徐东,"(114.346233, 30.587975)",0.004757320712481591,114.34455821697,30.592427774659
19409.0,复兴路,"(114.301225, 30.534309)",0.0022302857994941556,114.30315375829,30.533189149025
19409.0,马湖,"(114.32504, 30.471754)",0.008005617554977975,114.3326597761,30.474209386858
